root_id,primary_type,additional_type(s)
720575940631467591,ORN_DA2,
720575940634614367,ORN_DA2,
720575940632190765,ORN_DA2,
720575940619539182,ORN_DA2,
720575940622713578,ORN_DA2,
720575940628086607,ORN_DA2,
720575940644590116,ORN_DA2,
720575940628380827,ORN_DA2,
720575940616536209,ORN_DA2,
720575940654069409,ORN_DA2,
720575940641403021,ORN_DA2,
720575940639931893,ORN_DA2,
720575940616095318,ORN_DA2,
720575940622553420,ORN_DA2,
720575940615923131,ORN_DA2,
720575940608928324,ORN_DA2,
720575940609633378,ORN_DA2,
720575940626411097,ORN_DA2,
720575940621106102,ORN_DA2,
720575940629830508,ORN_DA2,
720575940627805096,ORN_DA2,
720575940659222657,ORN_DA2,
720575940618946901,ORN_DA2,
720575940630257772,ORN_DA2,
720575940637704676,ORN_DA2,
720575940626357586,ORN_DA2,
720575940627318696,ORN_DA2,
720575940615427734,ORN_DA2,
720575940603832288,ORN_DA2,
720575940621003102,ORN_DA3,
720575940626399550,ORN_DA3,
720575940624163854,ORN_DA3,
720575940626974266,ORN_DA3,
720575940621265249,ORN_DA3,
720575940621209513,ORN_DA3,
720575940611127650,ORN_DA3,
720575940629782748,ORN_DA3,
720575940630246778,ORN_DA3,
720575940626873488,ORN_DA3,
720575940632297263,ORN_DA3,
720575940628683002,ORN_DA3,
720575940626859797,ORN_DA3,
720575940611559653,ORN_DA3,
720575940639028312,ORN_DA3,
720575940622098019,ORN_DA3,
720575940627185896,ORN_DA3,
720575940625460784,ORN_DA3,
720575940634775476,ORN_DA3,
720575940621165951,ORN_DA3,
720575940625187390,ORN_DA3,
720575940622565514,ORN_DA3,
720575940612417905,ORN_DA3,
720575940603828704,ORN_DA3,
720575940610384226,ORN_DA3,
720575940631315503,ORN_DA3,
720575940619976686,ORN_DA3,
720575940619029589,ORN_DA3,
720575940631314479,ORN_DA3,
720575940623031223,ORN_DA3,
720575940627455400,ORN_DA4l,
720575940627208196,ORN_DA4l,
720575940626996252,ORN_DA4l,
720575940624669966,ORN_DA4l,
720575940614653290,ORN_DA4l,
720575940626942995,ORN_DA4l,
720575940625462064,ORN_DA4l,
720575940615490502,ORN_DA4l,
720575940615558598,ORN_DA4l,
720575940629832252,ORN_DA4l,
720575940625362020,ORN_DA4l,
720575940629673692,ORN_DA4l,
720575940617313510,ORN_DA4l,
720575940626457290,ORN_DA4l,
720575940615794619,ORN_DA4l,
720575940629346715,ORN_DA4l,
720575940629020176,ORN_DA4l,
720575940617616345,ORN_DA4l,
720575940628517675,ORN_DA4l,
720575940619388062,ORN_DA4l,
720575940619269534,ORN_DA4l,
720575940626619411,ORN_DA4l,
720575940627226761,ORN_DA4l,
720575940638542426,ORN_DA4l,
720575940634399071,ORN_DA4l,
720575940633033133,ORN_DA4l,
720575940640595840,ORN_DA4l,
720575940645612579,ORN_DA4l,
720575940611300594,ORN_DA4l,
720575940646039075,ORN_DA4l,
